Text;Size;Color;Angle;Font;Repeat;URL
NATURAL;3;Random;Random;Random;Yes;http://wordart.com/go?word=natural
OUTRUN;3;Random;Random;Random;Yes;http://wordart.com/go?word=outrun
BUBBLY;3;Random;Random;Random;Yes;http://wordart.com/go?word=bubbly
BLADE;3;Random;Random;Random;Yes;http://wordart.com/go?word=blade
CURB;3;Random;Random;Random;Yes;http://wordart.com/go?word=curb
MINIMIZED;3;Random;Random;Random;Yes;http://wordart.com/go?word=minimized
NET;3;Random;Random;Random;Yes;http://wordart.com/go?word=net
HUND';3;Random;Random;Random;Yes;http://wordart.com/go?word=hund'
COMIN';3;Random;Random;Random;Yes;http://wordart.com/go?word=comin'
DOOR;3;Random;Random;Random;Yes;http://wordart.com/go?word=door
EXIT;3;Random;Random;Random;Yes;http://wordart.com/go?word=exit
GEEKED;3;Random;Random;Random;Yes;http://wordart.com/go?word=geeked
TONIGHT;3;Random;Random;Random;Yes;http://wordart.com/go?word=tonight
SHIMMY;3;Random;Random;Random;Yes;http://wordart.com/go?word=shimmy
YA;3;Random;Random;Random;Yes;http://wordart.com/go?word=ya
ANYBODY;3;Random;Random;Random;Yes;http://wordart.com/go?word=anybody
SIMMER;3;Random;Random;Random;Yes;http://wordart.com/go?word=simmer
OVERHEAT;3;Random;Random;Random;Yes;http://wordart.com/go?word=overheat
COMFORT;3;Random;Random;Random;Yes;http://wordart.com/go?word=comfort
VEIN;3;Random;Random;Random;Yes;http://wordart.com/go?word=vein
HEARTBEAT;3;Random;Random;Random;Yes;http://wordart.com/go?word=heartbeat
RACIN';3;Random;Random;Random;Yes;http://wordart.com/go?word=racin'
JUNKIE'S;3;Random;Random;Random;Yes;http://wordart.com/go?word=junkie's
ASKIN';3;Random;Random;Random;Yes;http://wordart.com/go?word=askin'
MUCH;3;Random;Random;Random;Yes;http://wordart.com/go?word=much
RESPECT;3;Random;Random;Random;Yes;http://wordart.com/go?word=respect
CAT;3;Random;Random;Random;Yes;http://wordart.com/go?word=cat
COMEDY;3;Random;Random;Random;Yes;http://wordart.com/go?word=comedy
SURELY;3;Random;Random;Random;Yes;http://wordart.com/go?word=surely
PROBABLY;3;Random;Random;Random;Yes;http://wordart.com/go?word=probably
COLD;3;Random;Random;Random;Yes;http://wordart.com/go?word=cold
LITTLE;3;Random;Random;Random;Yes;http://wordart.com/go?word=little
BLOWER;3;Random;Random;Random;Yes;http://wordart.com/go?word=blower
LAP;3;Random;Random;Random;Yes;http://wordart.com/go?word=lap
WEAKNESS;2;Random;Random;Random;Yes;http://wordart.com/go?word=weakness
DECIDE;2;Random;Random;Random;Yes;http://wordart.com/go?word=decide
TAKIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=takin'
HAVIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=havin'
STRUGGLE;2;Random;Random;Random;Yes;http://wordart.com/go?word=struggle
SEEMS;2;Random;Random;Random;Yes;http://wordart.com/go?word=seems
SOMETHING;2;Random;Random;Random;Yes;http://wordart.com/go?word=something
HELP;2;Random;Random;Random;Yes;http://wordart.com/go?word=help
LAMAR;2;Random;Random;Random;Yes;http://wordart.com/go?word=lamar
HATE;2;Random;Random;Random;Yes;http://wordart.com/go?word=hate
PLEASE;2;Random;Random;Random;Yes;http://wordart.com/go?word=please
WAR;2;Random;Random;Random;Yes;http://wordart.com/go?word=war
POISON;2;Random;Random;Random;Yes;http://wordart.com/go?word=poison
THOUGH;2;Random;Random;Random;Yes;http://wordart.com/go?word=though
AMBITION;2;Random;Random;Random;Yes;http://wordart.com/go?word=ambition
MEDITATE;2;Random;Random;Random;Yes;http://wordart.com/go?word=meditate
FUCKING;2;Random;Random;Random;Yes;http://wordart.com/go?word=fucking
BED;2;Random;Random;Random;Yes;http://wordart.com/go?word=bed
MILLIONS;2;Random;Random;Random;Yes;http://wordart.com/go?word=millions
RICHES;2;Random;Random;Random;Yes;http://wordart.com/go?word=riches
BUILDIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=buildin'
WIN;2;Random;Random;Random;Yes;http://wordart.com/go?word=win
SERVE;2;Random;Random;Random;Yes;http://wordart.com/go?word=serve
PROBLEM;2;Random;Random;Random;Yes;http://wordart.com/go?word=problem
HERITAGE;2;Random;Random;Random;Yes;http://wordart.com/go?word=heritage
OLDEST;2;Random;Random;Random;Yes;http://wordart.com/go?word=oldest
FATHERS;2;Random;Random;Random;Yes;http://wordart.com/go?word=fathers
CHECKED;2;Random;Random;Random;Yes;http://wordart.com/go?word=checked
SECOND;2;Random;Random;Random;Yes;http://wordart.com/go?word=second
STAY;2;Random;Random;Random;Yes;http://wordart.com/go?word=stay
SHINE;2;Random;Random;Random;Yes;http://wordart.com/go?word=shine
ROLLIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=rollin'
DICE;2;Random;Random;Random;Yes;http://wordart.com/go?word=dice
DODGIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=dodgin'
REAPIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=reapin'
SLEEPIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=sleepin'
WALKIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=walkin'
POOL;2;Random;Random;Random;Yes;http://wordart.com/go?word=pool
EAT;2;Random;Random;Random;Yes;http://wordart.com/go?word=eat
FOUR;2;Random;Random;Random;Yes;http://wordart.com/go?word=four
DAUGHTERS;2;Random;Random;Random;Yes;http://wordart.com/go?word=daughters
COMPROMISE;2;Random;Random;Random;Yes;http://wordart.com/go?word=compromise
SEX;2;Random;Random;Random;Yes;http://wordart.com/go?word=sex
FATE;2;Random;Random;Random;Yes;http://wordart.com/go?word=fate
VS;2;Random;Random;Random;Yes;http://wordart.com/go?word=vs
